[INFO] Processing batch 0: loaded 1024 records from upstream queue, transforming payload with schema v3. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 1: loaded 1024 records from upstream queue, transforming payload with schema v4. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 2: loaded 1024 records from upstream queue, transforming payload with schema v5. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 3: loaded 1024 records from upstream queue, transforming payload with schema v6. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 4: loaded 1024 records from upstream queue, transforming payload with schema v3. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 5: loaded 1024 records from upstream queue, transforming payload with schema v4. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 6: loaded 1024 records from upstream queue, transforming payload with schema v5. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 7: loaded 1024 records from upstream queue, transforming payload with schema v6. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 8: loaded 1024 records from upstream queue, transforming payload with schema v3. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 9: loaded 1024 records from upstream queue, transforming payload with schema v4. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 10: loaded 1024 records from upstream queue, transforming payload with schema v5. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 11: loaded 1024 records from upstream queue, transforming payload with schema v6. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
[INFO] Processing batch 12: loaded 1024 records from upstream queue, transforming payload with schema v3. Validation passed for 1022 records, 2 rejected due to missing 'email' field. Forwarding to downstream service at endpoint https://internal.api.example.com/ingest/v3. Average latency 42ms, p99 87ms, zero retries triggered.
