============================= test session starts ==============================
platform linux -- Python 3.12.2, pytest-8.1.1, pluggy-1.4.0 -- /usr/bin/python3
cachedir: .pytest_cache
rootdir: /home/user/project
configfile: pyproject.toml
plugins: cov-5.0.0, mock-3.12.0, anyio-4.3.0
collected 247 items

tests/test_users.py::test_case_000 PASSED [  0%]
tests/test_users.py::test_case_001 PASSED [  0%]
tests/test_users.py::test_case_002 PASSED [  1%]
tests/test_users.py::test_case_003 PASSED [  1%]
tests/test_users.py::test_case_004 PASSED [  2%]
tests/test_users.py::test_case_005 PASSED [  2%]
tests/test_users.py::test_case_006 PASSED [  2%]
tests/test_users.py::test_case_007 PASSED [  3%]
tests/test_users.py::test_case_008 PASSED [  3%]
tests/test_users.py::test_case_009 PASSED [  4%]
tests/test_users.py::test_case_010 PASSED [  4%]
tests/test_users.py::test_case_011 PASSED [  4%]
tests/test_users.py::test_case_012 PASSED [  5%]
tests/test_users.py::test_case_013 PASSED [  5%]
tests/test_users.py::test_case_014 PASSED [  6%]
tests/test_users.py::test_case_015 PASSED [  6%]
tests/test_users.py::test_case_016 PASSED [  6%]
tests/test_users.py::test_case_017 PASSED [  7%]
tests/test_users.py::test_case_018 PASSED [  7%]
tests/test_users.py::test_case_019 PASSED [  8%]
tests/test_users.py::test_case_020 PASSED [  8%]
tests/test_users.py::test_case_021 PASSED [  8%]
tests/test_users.py::test_case_022 PASSED [  9%]
tests/test_users.py::test_case_023 PASSED [  9%]
tests/test_orders.py::test_case_000 PASSED [ 10%]
tests/test_orders.py::test_case_001 PASSED [ 10%]
tests/test_orders.py::test_case_002 PASSED [ 10%]
tests/test_orders.py::test_case_003 PASSED [ 11%]
tests/test_orders.py::test_case_004 PASSED [ 11%]
tests/test_orders.py::test_case_005 PASSED [ 12%]
tests/test_orders.py::test_case_006 PASSED [ 12%]
tests/test_orders.py::test_case_007 PASSED [ 12%]
tests/test_orders.py::test_case_008 PASSED [ 13%]
tests/test_orders.py::test_case_009 PASSED [ 13%]
tests/test_orders.py::test_case_010 PASSED [ 14%]
tests/test_orders.py::test_case_011 PASSED [ 14%]
tests/test_orders.py::test_case_012 PASSED [ 14%]
tests/test_orders.py::test_case_013 PASSED [ 15%]
tests/test_orders.py::test_case_014 PASSED [ 15%]
tests/test_orders.py::test_case_015 PASSED [ 16%]
tests/test_orders.py::test_case_016 PASSED [ 16%]
tests/test_orders.py::test_case_017 PASSED [ 17%]
tests/test_orders.py::test_case_018 PASSED [ 17%]
tests/test_orders.py::test_case_019 PASSED [ 17%]
tests/test_orders.py::test_case_020 PASSED [ 18%]
tests/test_orders.py::test_case_021 PASSED [ 18%]
tests/test_orders.py::test_case_022 PASSED [ 19%]
tests/test_orders.py::test_case_023 PASSED [ 19%]
tests/test_orders.py::test_case_024 PASSED [ 19%]
tests/test_orders.py::test_case_025 PASSED [ 20%]
tests/test_orders.py::test_case_026 PASSED [ 20%]
